iter	RMSE
0	1.435972397
1	1.206849704
2	1.100910436
3	1.035723322
4	0.99535681
5	0.9706774296
6	0.9506584781
7	0.9379588591
8	0.9248070611
9	0.9198756226
10	0.9136097917
11	0.9093510976
12	0.9056884596
13	0.9020750289
14	0.8974491866
15	0.8911294955
16	0.8868752519
17	0.8803900836
18	0.8673439689
19	0.8603232618
20	0.8559033885
21	0.8499073382
22	0.8475662555
23	0.8430021275
24	0.8406062137
25	0.836961504
26	0.8317944799
27	0.8284071413
28	0.8253109909
29	0.8237976688
30	0.8216085981
31	0.8197198319
32	0.8150391946
33	0.8124045544
34	0.8096145029
35	0.8055982955
36	0.8016151714
37	0.80006013
38	0.7986029095
39	0.7960893684
40	0.7927374379
41	0.7908593966
42	0.7882062788
43	0.7866814629
44	0.7853221895
45	0.7834101389
46	0.7810227045
47	0.7783455525
48	0.7760799674
49	0.773882879
50	0.7716991403
51	0.7699794288
52	0.768104376
53	0.7669942815
54	0.7653508715
55	0.7640651712
56	0.7618280548
57	0.7598828038
58	0.7585191671
59	0.7566132969
60	0.7555666653
61	0.7541425395
62	0.7527881731
63	0.7509946824
64	0.7487193784
65	0.7474421868
66	0.7461487116
67	0.744719537
68	0.7431726135
69	0.7423501651
70	0.7406681004
71	0.7375759802
72	0.7355488256
73	0.7340368058
74	0.7327797708
75	0.7315128429
76	0.7299022232
77	0.7288632169
78	0.7282631509
79	0.7268636849
80	0.7257390858
81	0.7242320996
82	0.7231610457
83	0.7220607887
84	0.7203679418
85	0.7189654733
86	0.7170282521
87	0.7144587114
88	0.7135587053
89	0.7120443445
90	0.7108273913
91	0.7103513989
92	0.7085986108
93	0.707375945
94	0.7061983253
95	0.7052228283
96	0.7039182774
97	0.7029316318
98	0.7015599222
99	0.7005662863
