iter	Passed	Remaining
0	183	18202
1	203	9982
2	217	7045
3	229	5510
4	236	4501
5	246	3867
6	256	3407
7	270	3106
8	279	2829
9	286	2581
10	294	2385
11	301	2209
12	308	2065
13	314	1934
14	321	1823
15	329	1727
16	335	1638
17	343	1562
18	349	1488
19	356	1425
20	363	1368
21	369	1311
22	376	1261
23	385	1220
24	393	1179
25	399	1136
26	407	1101
27	415	1067
28	422	1035
29	429	1001
30	435	968
31	443	941
32	449	912
33	456	885
34	462	859
35	470	836
36	480	818
37	488	796
38	494	773
39	500	751
40	508	731
41	514	710
42	522	693
43	529	674
44	537	656
45	543	637
46	549	620
47	556	603
48	563	586
49	572	572
50	580	557
51	588	543
52	594	527
53	602	513
54	608	497
55	615	483
56	622	469
57	628	455
58	637	443
59	644	429
60	652	416
61	658	403
62	665	390
63	672	378
64	679	365
65	686	353
66	695	342
67	702	330
68	709	318
69	716	307
70	722	295
71	730	284
72	737	272
73	743	261
74	750	250
75	756	239
76	764	228
77	771	217
78	778	206
79	785	196
80	792	185
81	800	175
82	806	165
83	815	155
84	823	145
85	831	135
86	837	125
87	844	115
88	851	105
89	857	95
90	864	85
91	872	75
92	880	66
93	888	56
94	896	47
95	903	37
96	910	28
97	917	18
98	923	9
99	930	0
